year,name,description,image
1920,"เปรม ติณสูลานนท์","อดีตนายกรัฐมนตรี","prem.jpg"
1932,"บรรหาร ศิลปอาชา","อดีตนายกรัฐมนตรี","banhan.jpg"
1932,"อานันท์ ปันยารชุน","อดีตนายกรัฐมนตรี","anand.jpg"
1933,"ส. ศิวลักษณ์","นักวิชาการ","ssiwalak.jpg"
1938,"ชวน หลีกภัย","อดีตนายกรัฐมนตรี","chuan.jpg"
1945,"ประวิตร วงษ์สุวรรณ","รัฐมนตรีว่าการกระทรวงกลาโหม","prawit.jpg"
1949,"ทักษิณ ชินวัตร","อดีตนายกรัฐมนตรี","thaksin.jpg"
1953,"สมคิด จาตุศรีพิทักษ์","อดีตรองนายกรัฐมนตรี","somkid.jpg"
1954,"สุเทพ เทือกสุบรรณ","เลขาธิการ กปปส.","suthep.jpg"
1954,"ประยุทธ จันทร์โอชา","นายกรัฐมนตรี","prayuth.jpg"
1958,"สมศักดิ์ เจียมธีรสกุล","นักวิชาการ","somsakjeam.jpg"
1961,"วรงค์ เดชกิจวิกรม","ผู้ร่วมก่อตั้งกลุ่มไทยภักดี","warong.jpg"
1961,"สุดารัตน์ เกยุราพันธุ์","หัวหน้าพรรคเพื่อไทย","sudarat.png"
1949,"อภิสิทธิ์ เวชชาชีวะ","อดีตนายกรัฐมนตรี","abhisit.jpg"
1978,"ธนาธร จึงรุ่งเรืองกิจ","ผู้นำคณะก้าวไกล","thanathorn.jpg"
1992,"พริษฐ์ วัชรสินธุ (ไอติม)","สมาชิกพรรคประชาธิปัตย์","itim.jpg"
1996,"เนติวิทย์ โชติไพศาล (แฟรงค์)","แกนนำกลุ่มการศึกษาเพื่อความเป็นไท","netiwit.jpg"
0000,"ภัสราวลี ธนกิจวิบูลย์ผล (มายด์)", "แกนนำคณะประชาชนปลดแอก","mind_copyrighted.jpg"
1996,"เกียรติวงศ์ สงบ (ลี)","ผู้ร่วมก่อตั้งกลุ่มไทยภักดี","lee_copyrighted.jpg"
2002,"สุพิชฌาย์ ชัยลอม (เมนู)","แกนนำกลุ่มนักเรียนเลว","maynu_copyrighted.jpg"
2003,"ลภนพัฒน์ หวังไพสิฐ (มิน)","แกนนำกลุ่มนักเรียนเลว","min_copyrighted.jpg"
