year,type,importance,event,link,
1920,world,2,มหาตมา คานธี เริ่มขบวนการอารยะขัดขืน,gandhi,https://en.wikipedia.org/wiki/Non-cooperation_movement
1925,thailand,1,ร.7 ขึ้นครองราชย์,,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B1%E0%B8%A7
1928,world,3,มิคกีเมาส์ปรากฏตัวครั้งแรก,mickey mouse,https://en.wikipedia.org/wiki/Mickey_Mouse
1929,world,2,ตลาดหลักทรัพย์วอลสตรีทตก (Wall Street Crash),wall street crash,https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929
1929,world,1,ภาวะเศรษฐกิจตกต่ำครั้งใหญ่ (The Great Depression),great depression,https://en.wikipedia.org/wiki/Great_Depression
1932,thailand,1,การปฏิวัติสยาม เป็นประชาธิปไตย พ.ศ. 2475,,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1_%E0%B8%9E.%E0%B8%A8._2475
1933,thailand,2,กบฎบวรเดช,,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%9A%E0%B8%8F%E0%B8%9A%E0%B8%A7%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%8A
1935,thailand,1,ร.8 ขึ้นครองราชย์,,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A1%E0%B8%AB%E0%B8%B4%E0%B8%94%E0%B8%A5_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B1%E0%B8%90%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9A%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3
1938,thailand,1,จอมพลป. เป็นนายก,,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9B%E0%B8%A5%E0%B8%81_%E0%B8%9E%E0%B8%B4%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%AA%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%A1
1939,thailand,3,ประกาศใช้กฏหมายรัฐนิยม,,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1
1939,thailand,4,สุนทราภรณ์ ก่อตั้ง,,
1939,world,1,เริ่มสงครามโลกครั้งที่ 2,ww2,https://en.wikipedia.org/wiki/World_War_II
1941,thailand,3,เกิดขบวนการเสรีไทย,,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B5%E0%B9%84%E0%B8%97%E0%B8%A2
1945,world,1,สิ้นสุดสงครามโลกครั้งที่ 2,end ww2,https://en.wikipedia.org/wiki/Aftermath_of_World_War_II
1945,world,1,เริ่มสงครามเย็น,cold war,https://en.wikipedia.org/wiki/Cold_War
1945,world,2,การแบ่งแยกดินแดนอินเดีย-ปากีสถาน,india partition,https://en.wikipedia.org/wiki/Partition_of_India
