year,type,importance,event,image,link,
1920,world,2,มหาตมา คานธี เริ่มขบวนการอารยะขัดขืน,gandhi.jpg,https://en.wikipedia.org/wiki/Non-cooperation_movement
1922,world,3,Reader's Digest วางขาย,readers digest.svg,
1923,thailand,4,ภาพยนตร์ไทยเรื่องแรก นางสาวสุวรรณ ออกฉาย,kingdom of heaven.jpg,https://th.wikipedia.org/wiki/%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93
1925,thailand,1,รัชกาลที่ 7 ทรงขึ้นครองราชสมบัติ,rama vii.jpg,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B1%E0%B8%A7
1928,world,3,Mickey Mouse ปรากฏตัวครั้งแรก,mickey mouse.jpg,https://en.wikipedia.org/wiki/Mickey_Mouse
1929,world,2,ตลาดหลักทรัพย์วอลสตรีทตก (Wall Street Crash),wall street crash.jpg,https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929
1929,world,1,ภาวะเศรษฐกิจตกต่ำครั้งใหญ่ (The Great Depression),great depression.gif,https://en.wikipedia.org/wiki/Great_Depression
1930,thailand,3,วิทยุในไทยเริ่มกระจายเสียง,unlicensed radio thai.jpg,https://th.wikipedia.org/wiki/%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B8%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2
1932,thailand,1,สยามเปลี่ยนแปลงการปกครองเป็นระบอบประชาธิปไตย,siamese revolution 1932.jpg,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1_%E0%B8%9E.%E0%B8%A8._2475
1933,thailand,2,กบฎบวรเดช,bawondet.jpg,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%9A%E0%B8%8F%E0%B8%9A%E0%B8%A7%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%8A
1934,thailand,2,ปรีดี พนมยงค์ ก่อตั้งมหาวิทยาลัยธรรมศาสตร์,thammasat.png,https://en.wikipedia.org/wiki/Thammasat_University
1935,thailand,1,รัชกาลที่ 8 ทรงขึ้นครองราชสมบัติ,rama viii.jpg,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A1%E0%B8%AB%E0%B8%B4%E0%B8%94%E0%B8%A5_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B1%E0%B8%90%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9A%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3
1937,world,1,การสังหารหมู่นานกิง,nanking massacre.jpg,https://en.wikipedia.org/wiki/Nanjing_Massacre
1937,world,2,SPAM วางขาย,spam.svg,https://en.wikipedia.org/wiki/Spam_(food)
1938,thailand,1,จอมพลป.พิบูลสงคราม เป็นนายกรัฐมนตรี,phibun songkhram.jpg,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9B%E0%B8%A5%E0%B8%81_%E0%B8%9E%E0%B8%B4%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%AA%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%A1
1939,thailand,2,ประกาศใช้กฏหมายรัฐนิยม ปรับวัฒนธรรมของชาติให้เป็นตะวันตกมากขึ้น,thai cultural revolution.png,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1
1939,thailand,3,สุนทราภรณ์ ก่อตั้ง,soontraporn.jpg,https://th.wikipedia.org/wiki/%E0%B8%A7%E0%B8%87%E0%B8%94%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2%E0%B8%A0%E0%B8%A3%E0%B8%93%E0%B9%8C
