year,name,description,image
1920,"เปรม ติณสูลานนท์","อดีตนายกรัฐมนตรี","prem.jpg"
1932,"บรรหาร ศิลปอาชา","อดีตนายกรัฐมนตรี","banhan.jpg"
1932,"อานันท์ ปันยารชุน","อดีตนายกรัฐมนตรี","anand.jpg"
1933,"ส. ศิวลักษณ์","นักวิชาการ","ssiwalak.jpg"
1935,"จำลอง ศรีเมือง","แกนนำพันธมิตรประชาชนเพื่อประชาธิปไตย","chamlong.jpg"
1938,"ชวน หลีกภัย","อดีตนายกรัฐมนตรี","chuan.jpg"
1944,"โรจน์ งามแม้น (เปลว สีเงิน)","ประธานกรรมการบริหารหนังสือพิมพ์ ไทยโพสต์","plew_copyrighted.jpg"
1945,"ประวิตร วงษ์สุวรรณ","รัฐมนตรีว่าการกระทรวงกลาโหม","prawit.jpg"
1947,"สนธิ ลิ้มทองกุล","แกนนำพันธมิตรประชาชนเพื่อประชาธิปไตย","sondhi.jpg"
1949,"ทักษิณ ชินวัตร","อดีตนายกรัฐมนตรี","thaksin.jpg"
1953,"สมคิด จาตุศรีพิทักษ์","อดีตรองนายกรัฐมนตรี","somkid.jpg"
1954,"สุเทพ เทือกสุบรรณ","เลขาธิการ กปปส.","suthep.jpg"
1954,"ประยุทธ จันทร์โอชา","นายกรัฐมนตรี","prayuth.jpg"
1958,"สมศักดิ์ เจียมธีรสกุล","นักวิชาการ","somsakjeam.jpg"
1961,"วรงค์ เดชกิจวิกรม","ผู้ร่วมก่อตั้งกลุ่มไทยภักดี","warong.jpg"
1961,"สุดารัตน์ เกยุราพันธุ์","หัวหน้าพรรคเพื่อไทย","sudarat.png"
1964,"ตุลย์ สิทธิสมวงศ์","ผู้นำกลุ่มคนเสื้อหลากสี","tul_copyrighted.png"
1964,"อภิสิทธิ์ เวชชาชีวะ","อดีตนายกรัฐมนตรี","abhisit.jpg"
1965,"จตุพร พรหมพันธุ์","ประธานแนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ","jatuporn.jpg"
1972,"ลักขณา ปันวิชัย (คำ ผกา)","พิธีกรวอยซ์ทีวี","kamphaka.jpg"
1973,"ธัญญ์วาริน สุขะพิสิษฐ์ (กอล์ฟ)","สส. พรรคก้าวไกล และผู้กำกับภาพยนตร์","golf.jpg"
1978,"ธนาธร จึงรุ่งเรืองกิจ","ผู้ก่อตั้งพรรคอนาคตใหม่","thanathorn.jpg"
1978,"จอมขวัญ หลาวเพ็ชร์","ผู้รายงานข่าวไทยรัฐทีวี","chomkwan.jpg"
1984,"อานนท์ นำภา","แกนนำคณะราษฎร 2563","arnon.jpg"
1992,"พริษฐ์ วัชรสินธุ (ไอติม)","สมาชิกพรรคประชาธิปัตย์","itim.jpg"
1992,"รังสิมันต์ โรม","สมาชิกพรรคประชาธิปัตย์",""
1996,"เนติวิทย์ โชติไพศาล (แฟรงค์)","แกนนำกลุ่มการศึกษาเพื่อความเป็นไท","netiwit.jpg"
1998,"ปนัสยา สิทธิจิรวัฒนกุล (รุ้ง)","แกนนำกลุ่มแนวร่วมธรรมศาสตร์และการชุมนุม","roong_copyrighted.jpg"
1995,"ภัสราวลี ธนกิจวิบูลย์ผล (มายด์)","แกนนำคณะประชาชนปลดแอก","mind_copyrighted.jpg"
1996,"เกียรติวงศ์ สงบ (ลี)","ผู้ร่วมก่อตั้งกลุ่มไทยภักดี","lee_copyrighted.jpg"
2002,"สุพิชฌาย์ ชัยลอม (เมนู)","ผู้ปราศรัยกลุ่มนักเรียนเลว","maynu_copyrighted.jpg"
2003,"ลภนพัฒน์ หวังไพสิฐ (มิน)","แกนนำกลุ่มนักเรียนเลว","min_copyrighted.jpg"
